Date,Team,Player,Rating,Tackles,Fouls,Yellowcards,Goals_Conceded,Goals,Offsides
2025-02-23 18:30:00.000000 UTC,PAOK,Giannis Konstantelias,6.56,2,1,1,2,0,0
2025-02-02 17:30:00.000000 UTC,PAOK,Ioannis Konstantelias,7.43,3,0,0,2,0,0
2024-09-29 17:30:00.000000 UTC,PAOK,Giannis Konstantelias,7.96,1,0,0,1,0,0
2024-09-15 17:30:00.000000 UTC,PAOK,Giannis Konstantelias,6.94,1,0,0,0,0,0
2024-12-01 17:00:00.000000 UTC,PAOK,G. Konstantelias,8.57,1,0,0,2,1,0
2024-10-27 19:00:00.000000 UTC,PAOK,G. Konstantelias,7.65,0,2,1,0,0,0
2024-11-10 18:30:00.000000 UTC,PAOK,G. Konstantelias,7.04,2,0,0,2,0,0
2024-08-17 17:00:00.000000 UTC,PAOK,Giannis Konstantelias,7.65,3,0,0,2,0,0
2024-08-25 17:30:00.000000 UTC,PAOK,Giannis Konstantelias,6.83,1,3,0,0,0,0
2024-12-08 13:30:00.000000 UTC,PAOK,G. Konstantelias,7.65,0,4,0,1,0,0
2024-12-22 17:30:00.000000 UTC,PAOK,Ioannis Konstantelias,7.6,1,0,0,0,0,0
2025-01-26 17:30:00.000000 UTC,PAOK,Ioannis Konstantelias,6.91,2,2,0,0,0,0
2025-02-16 18:00:00.000000 UTC,PAOK,Giannis Konstantelias,9.88,1,0,0,0,3,0
2025-03-02 17:30:00.000000 UTC,PAOK,Giannis Konstantelias,7.72,3,1,0,0,0,0
2025-01-12 17:30:00.000000 UTC,PAOK,Ioannis Konstantelias,6.2,2,0,0,2,0,0
2024-10-06 17:30:00.000000 UTC,PAOK,G. Konstantelias,6.83,0,0,0,0,0,0
2024-11-24 17:30:00.000000 UTC,PAOK,G. Konstantelias,7.55,1,3,0,1,0,0
2024-09-01 17:30:00.000000 UTC,PAOK,Giannis Konstantelias,6.94,2,1,0,1,0,0
2025-02-08 18:00:00.000000 UTC,PAOK,Ioannis Konstantelias,8.2,0,0,0,0,0,0
2024-12-15 17:00:00.000000 UTC,PAOK,G. Konstantelias,6.83,0,1,1,0,0,0
2025-01-19 17:00:00.000000 UTC,PAOK,Ioannis Konstantelias,7.38,0,1,0,0,0,0
2024-09-21 14:00:00.000000 UTC,PAOK,Giannis Konstantelias,6.63,0,0,0,0,0,0
2024-10-20 17:30:00.000000 UTC,PAOK,G. Konstantelias,6.22,0,0,0,0,0,1
